major,filename,prompt,alt_text
Accounting,accounting.png,"Close-up desk scene with hands using a calculator over printed financial statements and a pen. Neutral, professional office light. No faces, no logos, no text.","Hands reviewing financial statements with a calculator"
Actuarial Science,actuarial-science.png,"Desk scene with a laptop showing probability charts and a printed actuarial table, with a pen and notepad. Neutral office light. No faces, no logos, no readable text.","Actuarial tables and risk charts on a desk"
Corporate Innovation and Entrepreneurship,corporate-innovation-and-entrepreneurship.png,"Workspace with a notebook, sticky notes, and a simple prototype sketch on paper. A hand holds a pen over a planning board. Clean, neutral background. No faces, no logos, no text.","Innovation planning materials on a desk"
Finance,finance.png,"Desk with a laptop showing financial charts and a stack of reports. A hand holds a pen over a budget worksheet. Professional office light. No faces, no logos, no readable text.","Financial charts and reports on a desk"
Management,management.png,"Small meeting table with a laptop, a printed agenda sheet, and two hands gesturing over a project plan. Neutral light, no faces visible.","Team planning materials on a table"
Management Information Systems,management-information-systems.png,"Desk with a laptop showing a clean data dashboard and a tablet with a simple chart. Neutral light, no logos, no readable text.","Business data dashboard on a laptop"
Marketing,marketing.png,"Desk with a tablet showing a clean analytics chart, color swatches, and a notebook. A hand holds a pen. Neutral light, no logos, no readable text.","Marketing analytics and planning materials"
Real Estate,real-estate.png,"Desk with property floor plans, a small architectural model, and a calculator. Neutral light, no faces, no logos, no readable text.","Real estate plans and model on a desk"
Risk Management,risk-management.png,"Desk with a printed risk matrix chart, a notepad, and a laptop with a simple warning icon. Neutral light, no logos, no readable text.","Risk assessment materials on a desk"
Supply Chain and Information Systems,supply-chain-information-systems.png,"Workspace with a laptop showing a simplified logistics network map and a clipboard with shipment checkboxes. Neutral light, no logos, no readable text.","Supply chain planning materials on a desk"
