url,section,source_type,approved,ingested,used_in_final_sections,evidence,notes
https://ai.engineering.columbia.edu/ai-vs-machine-learning/,AI Basics,Explainer / Guide,yes,yes,yes,"foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-basics, how-businesses-use-ai)",
https://ai.psu.edu/guidelines/,"Rules, Risks, and Ethics of AI",University / Official,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present),
https://aiguidebook.vcu.edu/tools/,AI Tools You Might Use,University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-tools-you-might-use),
https://blog.methodistcollege.edu/how-to-use-artificial-intelligence-as-a-study-tool,Using AI for School and Work,University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: using-ai-for-school-and-work),
https://ctl.stanford.edu/aimes/ai-learning-guide-students,Using AI for School and Work,University / Official,yes,yes,yes,"foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: rules-risks-ethics, using-ai-for-school-and-work)",
https://er.educause.edu/articles/sponsored/2025/5/shaping-the-future-of-learning-ai-in-higher-education,Using AI for School and Work,News / Update,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: error),Scrape status: error
https://er.educause.edu/articles/sponsored/2025/8/4-ways-ai-can-help-students-succeed-in-college,Using AI for School and Work,News / Update,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: error),Scrape status: error
https://guides.library.georgetown.edu/ai/tools,AI Tools You Might Use,University / Official,yes,yes,yes,"foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-tools-you-might-use, rules-risks-ethics)",
https://hai.stanford.edu/ai-index/2025-ai-index-report,AI News That Matters,Research / Academic,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present),
https://iep.utm.edu/ethics-of-artificial-intelligence/,"Rules, Risks, and Ethics of AI",Research / Academic,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: rules-risks-ethics),
https://infoguides.gmu.edu/GenArtificial-Intelligence/ethics,"Rules, Risks, and Ethics of AI",University / Official,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present),
https://ischool.syracuse.edu/what-is-machine-learning/,AI Basics,Explainer / Guide,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present),
https://library.educause.edu/topics/infrastructure-and-research-technologies/artificial-intelligence-ai,AI Basics,University / Official,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present),
https://mitsloan.mit.edu/ideas-made-to-matter/how-digital-business-models-are-evolving-age-agentic-ai,How Businesses Are Using AI,University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: how-businesses-use-ai),
https://mitsloan.mit.edu/ideas-made-to-matter/machine-learning-explained,AI Basics,Explainer / Guide,yes,yes,yes,"foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-basics, how-businesses-use-ai)",
https://platform.openai.com/docs/concepts,AI Tools You Might Use,Tool Documentation,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: blocked),Scrape status: blocked
https://professional.dce.harvard.edu/blog/ethics-in-ai-why-it-matters/,"Rules, Risks, and Ethics of AI",Explainer / Guide,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: rules-risks-ethics),
https://scs.oregonstate.edu/using-artificial-intelligence,Using AI for School and Work,University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: using-ai-for-school-and-work),
https://sites.campbell.edu/academictechnology/2025/03/06/ai-in-higher-education-a-summary-of-recent-surveys-of-students-and-faculty/,Using AI for School and Work,University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: using-ai-for-school-and-work),
https://www.aaup.org/reports-publications/aaup-policies-reports/topical-reports/artificial-intelligence-and-academic,"Rules, Risks, and Ethics of AI",University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: rules-risks-ethics),
https://www.artificialintelligence-news.com/news/kroger-and-lowe-test-ai-agents-without-handing-control-to-google/,How Businesses Are Using AI,News / Update,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: how-businesses-use-ai),
https://www.businessnewsdaily.com/9402-artificial-intelligence-business-trends.html,How Businesses Are Using AI,News / Update,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: blocked),Scrape status: blocked
https://www.esade.edu/beyond/en/the-future-of-ai-in-business/,How Businesses Are Using AI,University / Official,yes,yes,no,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: blocked),Scrape status: blocked
https://www.flagler.edu/news-events/news/ai-business-education-new-era-opportunity,How Businesses Are Using AI,University / Official,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: how-businesses-use-ai),
https://www.heinz.cmu.edu/media/2023/July/artificial-intelligence-explained,AI Basics,Explainer / Guide,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-basics),
https://www.huit.harvard.edu/ai/tools,AI Tools You Might Use,University / Official,yes,yes,yes,"foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-tools-you-might-use, rules-risks-ethics)",
https://www.ibm.com/think/topics/artificial-intelligence,AI Basics,Explainer / Guide,yes,yes,yes,foundation/data/registry/SAIH Content - Corpus v0.csv; foundation/data/indexes/corpus_index_stable.json (scrape_status: success); foundation/data/chunks/chunks.jsonl (chunks present); foundation/content/sections/*/index.md (cited in: ai-basics),
